00:0b:86:59:98:a0,phillips-232-ap
00:0b:86:59:98:a1,phillips-232-ap
00:0b:86:59:98:a2,phillips-232-ap
00:0b:86:59:98:a3,phillips-232-ap
00:0b:86:59:98:a8,phillips-232-ap
00:0b:86:59:98:a9,phillips-232-ap
00:0b:86:59:98:aa,phillips-232-ap
00:0b:86:59:98:ab,phillips-232-ap
00:0b:86:59:99:40,phillips-238-ap
00:0b:86:59:99:41,phillips-238-ap
00:0b:86:59:99:42,phillips-238-ap
00:0b:86:59:99:43,phillips-238-ap
00:0b:86:59:99:48,phillips-238-ap
00:0b:86:59:99:49,phillips-238-ap
00:0b:86:59:99:4a,phillips-238-ap
00:0b:86:59:99:4b,phillips-238-ap
00:0b:86:59:de:00,phillips-428-ap
00:0b:86:59:de:01,phillips-428-ap
00:0b:86:59:de:02,phillips-428-ap
00:0b:86:59:de:03,phillips-428-ap
00:0b:86:59:de:08,phillips-428-ap
00:0b:86:59:de:09,phillips-428-ap
00:0b:86:59:de:0a,phillips-428-ap
00:0b:86:59:de:0b,phillips-428-ap
00:0b:86:59:e3:60,phillips-113-ap
00:0b:86:59:e3:61,phillips-113-ap
00:0b:86:59:e3:62,phillips-113-ap
00:0b:86:59:e3:63,phillips-113-ap
00:0b:86:59:e3:68,phillips-113-ap
00:0b:86:59:e3:69,phillips-113-ap
00:0b:86:59:e3:6a,phillips-113-ap
00:0b:86:59:e3:6b,phillips-113-ap
00:0b:86:59:ea:40,phillips-339-ap
00:0b:86:59:ea:41,phillips-339-ap
00:0b:86:59:ea:42,phillips-339-ap
00:0b:86:59:ea:43,phillips-339-ap
00:0b:86:59:ea:48,phillips-339-ap
00:0b:86:59:ea:49,phillips-339-ap
00:0b:86:59:ea:4a,phillips-339-ap
00:0b:86:59:ea:4b,phillips-339-ap
00:0b:86:59:ed:c0,phillips-400ca-ap
00:0b:86:59:ed:c1,phillips-400ca-ap
00:0b:86:59:ed:c2,phillips-400ca-ap
00:0b:86:59:ed:c3,phillips-400ca-ap
00:0b:86:59:ed:c8,phillips-400ca-ap
00:0b:86:59:ed:c9,phillips-400ca-ap
00:0b:86:59:ed:ca,phillips-400ca-ap
00:0b:86:59:ed:cb,phillips-400ca-ap
00:0b:86:59:f0:60,phillips-405-ap
00:0b:86:59:f0:61,phillips-405-ap
00:0b:86:59:f0:62,phillips-405-ap
00:0b:86:59:f0:63,phillips-405-ap
00:0b:86:59:f0:68,phillips-405-ap
00:0b:86:59:f0:69,phillips-405-ap
00:0b:86:59:f0:6a,phillips-405-ap
00:0b:86:59:f0:6b,phillips-405-ap
00:0b:86:59:f3:00,phillips-330-ap
00:0b:86:59:f3:01,phillips-330-ap
00:0b:86:59:f3:02,phillips-330-ap
00:0b:86:59:f3:03,phillips-330-ap
00:0b:86:59:f3:08,phillips-330-ap
00:0b:86:59:f3:09,phillips-330-ap
00:0b:86:59:f3:0a,phillips-330-ap
00:0b:86:59:f3:0b,phillips-330-ap
