90:18:7C:26:3F:11,Mon Jul 01 15:10:17 EDT 2013,"[29.298708140331186, 35.75572370844825, 39.45101990961858]"
90:18:7C:26:3F:11,Mon Jul 01 15:14:17 EDT 2013,"[11.917933518970845, 18.254961613650202, 2.388987580011225]"
90:18:7C:26:3F:11,Mon Jul 01 15:15:14 EDT 2013,"[8.821154474841384, 13.51155685421324, 1.7682283969961508]"
90:18:7C:26:3F:11,Mon Jul 01 15:19:05 EDT 2013,"[5.016041720578211, 7.683181729103181, 1.005481474804726]"
90:18:7C:26:3F:11,Mon Jul 01 15:39:16 EDT 2013,"[9.305132617207976, 14.252876848714333, 1.8652433509116293]"
90:18:7C:26:3F:11,Mon Jul 01 15:40:37 EDT 2013,"[3.732133096706276, 2.072587747380363, 4.203628369842539]"
90:18:7C:26:3F:11,Mon Jul 01 15:45:38 EDT 2013,"[12.039400881205884, 18.441015851273065, 2.4133360980906664]"
90:18:7C:26:3F:11,Mon Jul 01 15:49:56 EDT 2013,"[4.752712878747279, 4.9376799366932485, 3.5734695084697137]"
90:18:7C:26:3F:11,Mon Jul 01 16:20:47 EDT 2013,"[15.866388763782766, 24.30289759286363, 3.1804679591449743]"
90:18:7C:26:3F:11,Mon Jul 01 16:27:39 EDT 2013,"[7.348090280051983, 11.255231939535818, 1.472948006288366]"
90:18:7C:26:3F:11,Mon Jul 01 16:30:45 EDT 2013,"[4.458017055574364, 6.828443042828407, 0.8936236605358281]"
90:18:7C:26:3F:11,Mon Jul 01 16:45:28 EDT 2013,"[5.06683656731636, 5.264028755622208, 3.809652810854586]"
90:18:7C:26:3F:11,Tue Jul 02 11:34:33 EDT 2013,"[10.627984630122167, 11.041606723246977, 7.990968522852739]"
90:18:7C:26:3F:11,Tue Jul 02 11:34:45 EDT 2013,"[20.620981098961632, 21.423512685266868, 15.50450218050885]"
90:18:7C:26:3F:11,Tue Jul 02 12:00:01 EDT 2013,"[1070.5164150224284, 1361.712728034694, 965.3939028167003]"
90:18:7C:26:3F:11,Tue Jul 02 12:00:17 EDT 2013,"[1077.7196313745117, 1400.0246089124632, 960.8259277283853]"
90:18:7C:26:3F:11,Tue Jul 02 12:00:31 EDT 2013,"[1075.7454935007922, 1372.4604877513336, 1049.8540965569473]"
90:18:7C:26:3F:11,Tue Jul 02 12:03:19 EDT 2013,"[1048.0257068642045, 1376.453981302146, 1051.629184149598]"
90:18:7C:26:3F:11,Tue Jul 02 12:03:26 EDT 2013,"[1024.9002055510446, 1336.5626727590445, 942.7717973508232]"
90:18:7C:26:3F:11,Tue Jul 02 12:03:35 EDT 2013,"[1052.9910632710578, 1362.423065671258, 1088.7033025550386]"
90:18:7C:26:3F:11,Tue Jul 02 12:03:47 EDT 2013,"[1050.7638052406796, 1356.1297216112619, 1089.2765293943464]"
90:18:7C:26:3F:11,Tue Jul 02 12:03:55 EDT 2013,"[1043.9842304717226, 1338.6496948890551, 1008.599714023881]"
90:18:7C:26:3F:11,Tue Jul 02 12:04:34 EDT 2013,"[1059.3885968510515, 1374.154301757478, 1103.9032059751821]"
90:18:7C:26:3F:11,Tue Jul 02 12:04:43 EDT 2013,"[1055.0776025137382, 1377.5464658701692, 1070.750177938794]"
90:18:7C:26:3F:11,Tue Jul 02 12:07:08 EDT 2013,"[1049.223200253406, 1374.605072982957, 1037.3954112280514]"
90:18:7C:26:3F:11,Tue Jul 02 12:07:31 EDT 2013,"[1055.567377132917, 1368.665587538324, 1030.199393876548]"
90:18:7C:26:3F:11,Tue Jul 02 12:11:51 EDT 2013,"[1053.4651785013607, 1364.9192890109448, 1094.083711243663]"
90:18:7C:26:3F:11,Tue Jul 02 12:12:00 EDT 2013,"[1070.350543978157, 1373.4371354811453, 1133.0032029355946]"
90:18:7C:26:3F:11,Tue Jul 02 12:12:05 EDT 2013,"[1040.4460845087308, 1329.529325456486, 1023.6218603371232]"
90:18:7C:26:3F:11,Tue Jul 02 12:12:10 EDT 2013,"[1031.5621938434547, 1324.7577714307797, 1105.9319709698116]"
90:18:7C:26:3F:11,Tue Jul 02 12:14:23 EDT 2013,"[1026.9399301374945, 1341.7692424236914, 1036.7569504976766]"
90:18:7C:26:3F:11,Tue Jul 02 12:14:38 EDT 2013,"[1032.5689722619215, 1357.3840108396346, 1051.6674783335027]"
90:18:7C:26:3F:11,Tue Jul 02 12:14:46 EDT 2013,"[1040.9176623117708, 1368.0866070444724, 1123.193179431434]"
90:18:7C:26:3F:11,Tue Jul 02 12:14:55 EDT 2013,"[1070.5559109553749, 1371.5146746247597, 1109.7797110147314]"
90:18:7C:26:3F:11,Tue Jul 02 12:15:01 EDT 2013,"[1030.9559172267627, 1348.751705556781, 1136.890883080147]"
90:18:7C:26:3F:11,Tue Jul 02 12:15:07 EDT 2013,"[1029.698001346315, 1330.3383534319576, 1138.58098161865]"
90:18:7C:26:3F:11,Tue Jul 02 12:15:13 EDT 2013,"[1026.335374584254, 1226.8133594534286, 1120.6722387909892]"
90:18:7C:26:3F:11,Tue Jul 02 12:15:26 EDT 2013,"[1030.6970757765898, 1349.6623331867977, 1133.8336019057745]"
90:18:7C:26:3F:11,Tue Jul 02 12:23:46 EDT 2013,"[1053.9750579459803, 1308.775645390105, 1122.3402611106615]"
90:18:7C:26:3F:11,Tue Jul 02 12:24:36 EDT 2013,"[1028.3327603353669, 1365.2271195761807, 1036.5157747213564]"
90:18:7C:26:3F:11,Tue Jul 02 12:26:19 EDT 2013,"[1033.6513982420497, 1337.022801678647, 1073.8726086139914]"
90:18:7C:26:3F:11,Tue Jul 02 12:26:45 EDT 2013,"[1036.2749824625866, 1358.80953973923, 986.9835655069187]"
90:18:7C:26:3F:11,Tue Jul 02 12:30:50 EDT 2013,"[1029.1555206092119, 1360.680774735812, 1048.2971681535241]"
90:18:7C:26:3F:11,Tue Jul 02 12:31:03 EDT 2013,"[1027.0, 1360.0000000000002, 1139.8500000000001]"
90:18:7C:26:3F:11,Tue Jul 02 12:31:43 EDT 2013,"[1036.9496167494021, 1355.0251916252987, 1192.245965623869]"
90:18:7C:26:3F:11,Tue Jul 02 12:32:02 EDT 2013,"[1035.1432818893545, 1356.3875424089833, 1155.8635704939409]"
90:18:7C:26:3F:11,Tue Jul 02 12:32:40 EDT 2013,"[1036.061131581547, 1364.7286257142896, 1094.617849584974]"
90:18:7C:26:3F:11,Tue Jul 02 12:33:56 EDT 2013,"[1029.6494519917367, 1345.6383574344848, 1044.6050708830378]"
90:18:7C:26:3F:11,Tue Jul 02 12:34:24 EDT 2013,"[1023.9470022604237, 1372.2557191009878, 962.1889464134094]"
90:18:7C:26:3F:11,Tue Jul 02 12:35:45 EDT 2013,"[1034.407646860235, 1356.8799134958015, 1144.70112815787]"
90:18:7C:26:3F:11,Tue Jul 02 12:35:52 EDT 2013,"[1035.646831768998, 1358.7337382038638, 906.7213188895446]"
90:18:7C:26:3F:11,Tue Jul 02 12:36:22 EDT 2013,"[1031.659883186141, 1369.8346780912316, 1075.6797943261108]"
90:18:7C:26:3F:11,Tue Jul 02 12:37:07 EDT 2013,"[1038.178457626206, 1354.7902747197554, 1176.5098164930828]"
90:18:7C:26:3F:11,Tue Jul 02 12:38:48 EDT 2013,"[1028.9003887482543, 1369.663692449834, 1011.6870821273943]"
